Name,Label,Type,Length,Code / Range,Frequency,Weighted
 ,, , ,202204,694,"10,483,155"
 ,, , ,202205,560,"10,832,500"
 ,, , ,202206,358,"10,483,155"
 ,, , ,202207,468,"10,832,500"
 ,, , ,202208,474,"10,832,500"
 ,, , ,202209,441,"10,483,155"
 ,, , ,202210,621,"10,832,500"
 ,, , ,202211,"1,203","10,482,766"
 ,, , ,202212,973,"10,832,627"
 ,, , ,202301,372,"6,775,378"
travel_day,Travel day - day of week,C,2,01=Sunday,"1,388","18,220,672"
 ,, , ,02=Monday,"1,428","18,220,672"
 ,, , ,03=Tuesday,"1,133","18,220,672"
 ,, , ,04=Wednesday,"1,006","18,220,672"
 ,, , ,05=Thursday,"1,034","18,220,672"
 ,, , ,06=Friday,"1,061","18,220,672"
 ,, , ,07=Saturday,843,"18,220,672"
urban,"Household urban area classification, based on 2020 TIGER/Line Shapefile",C,2,01=In an urban area,"5,632","92,297,169"
 ,, , ,02=In an Urban cluster,674,"10,919,221"
 ,, , ,03=In an area surrounded by urban areas,1,"13,794"
 ,, , ,04=Not in urban area,"1,586","24,314,523"
household_location,Household in urban/rural area,C,2,01=Urban,"6,306","103,216,390"
 ,, , ,02=Rural,"1,587","24,328,317"
household_workers,Count of workers in household,N,8,0,"2,758","43,304,690"
 ,, , ,1,"2,790","45,519,835"
 ,, , ,2,"2,026","31,657,844"
 ,, , ,3,266,"5,784,605"
 ,, , ,4,42,"1,023,222"
 ,, , ,5,8,"203,337"
 ,, , ,6,3,"51,173"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
